Timestamp,Please read the consent form and select I agree to continue,UserId,Gender,Age,What is the highest level of education you have completed? ,Nationality,Your interest in music?,Have you had formal training or education related to music?,"If yes, which instrument (or singing) and for how many years?",How many hours in a day do you listen to music?,What kind of music do you like to listen to the most? ,What kind of music do you like to listen to when you feel low? ,Do you listen to music in the background while working? [Choice],When I listen to music I get stuck in bad memories [Choice],"I hide in my music because nobody understands me, and it blocks people out [Choice]",Music helps me relax [Choice],When I try to use music to feel better I actually end up feeling worse [Choice],I feel happier after playing or listening to music [Choice],Music gives me the energy to get going [Choice],I like to listen to songs over and over even though it makes me feel worse [Choice],Music makes me feel bad about who I am [Choice],Music helps me to connect with other people who are like me [Choice],Music gives me an excuse not to face up to the real world [Choice],It can be hard to stop listening to music that connects me to bad memories [Choice],Music leads me to do things I shouldn’t do [Choice],When I’m feeling tense or tired in my body music helps me relax [Choice],"In the past 4 weeks, how often did you feel tired out for no good reason?  [Choice]","In the past 4 weeks, how often did you feel nervous? [Choice]","In the past 4 weeks, how often did you feel so nervous that nothing could calm you down?     [Choice]","In the past 4 weeks, how often did you feel hopeless? [Choice]","In the past 4 weeks, how often did you feel restless or fidgety?  [Choice]","In the past 4 weeks, how often did you feel so restless you could not sit still?  [Choice]","In the past 4 weeks, how often did you feel depressed? [Choice]","In the past 4 weeks, how often did you feel that everything was an effort?  [Choice]","In the past 4 weeks, how often did you feel so sad that nothing could cheer you up? [Choice]","In the past 4 weeks, how often did you feel worthless? [Choice]",Am the life of the party. [Choice],Sympathize with others’ feelings. [Choice],Get chores done right away.  [Choice],Have frequent mood swings. [Choice],Have a vivid imagination. [Choice],Don’t talk a lot. [Choice],Am not interested in other people’s problems. [Choice],Often forget to put things back in their proper place. [Choice],Am relaxed most of the time. [Choice],Am not interested in abstract ideas. [Choice],Talk to a lot of different people at parties. [Choice],Feel others’ emotions. [Choice],Like order. [Choice],Get upset easily. [Choice],I Have difficulty understanding abstract ideas. [Choice],Keep in the background. [Choice],Am not really interested in others. [Choice],Make a mess of things. [Choice],Seldom feel blue. [Choice],Do not have a good imagination. [Choice],How has your music use pattern changed over the past one year?,How would you compare your well-being one year ago and now?,Unhealthy,Healthy,K-10,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
2019/03/20 4:46:49 AM GMT+5:30,I Agree,fc9baa2bd54e1aed22218c60f6a831e7,Male,33,High School graduate,United Kingdom,Enthusiastic,No,,10,Rock,rock,Often,Rarely,Rarely,Sometimes,Never,Sometimes,Sometimes,Never,Never,Rarely,Never,Never,Never,Sometimes,None of the time,A little of the time,None of the time,Some of the time,A little of the time,None of the time,Some of the time,A little of the time,None of the time,Some of the time,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Zero change whatsoever,I feel more or less the same.,10,14,19,3.25,3.5,1.5,3.5,2.25
2019/03/24 2:31:09 PM GMT+5:30,I Agree,28bc7d949bce6008b4c3e1f2b629aa24,Male,20,Bachelor's degree,Spain,Enthusiastic,No,,16,Rock,jazz,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Sometimes,Always,Rarely,Sometimes,Most of the time,Some of the time,Some of the time,Some of the time,Most of the time,A little of the time,A little of the time,A little of the time,A little of the time,A little of the time,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,It hasn't,Can't say,23,14,27,3.25,2.5,3,3.25,3
2019/03/24 2:53:09 PM GMT+5:30,I Agree,3c9acb63bcc3bc407dcdb765e17efa13,Male,33,Master's degree,France,Enthusiastic,No,,2,Rock,rock,Sometimes,Rarely,Never,Always,Never,Always,Always,Never,Never,Rarely,Sometimes,Rarely,Never,Sometimes,A little of the time,A little of the time,A little of the time,A little of the time,A little of the time,None of the time,None of the time,A little of the time,None of the time,None of the time,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Ni change,I feel more or less the same.,12,20,16,3.75,4.25,2.75,3.75,2
2019/03/24 3:06:49 PM GMT+5:30,I Agree,4bcdbf7361077f9a2637722c723ad2c2,Female,22,Bachelor's degree,United Kingdom,Enthusiastic,No,,3,Mixed,Pop,Often,Rarely,Often,Sometimes,Rarely,Often,Often,Sometimes,Never,Sometimes,Often,Rarely,Never,Often,Most of the time,All of the time,Most of the time,Some of the time,Some of the time,A little of the time,Some of the time,Most of the time,A little of the time,Some of the time,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Not really,I feel more or less the same.,19,18,33,4,2.25,2,4,3.75
2019/03/24 6:15:54 PM GMT+5:30,I Agree,5bb52c19e4743454416828908171f10f,Male,47,Bachelor's degree,United States,Enthusiastic,Yes,Clarinet — 8 years,12,Classical,Pop,Always,Sometimes,Often,Always,Never,Always,Always,Never,Never,Always,Never,Never,Never,Always,A little of the time,None of the time,None of the time,None of the time,None of the time,None of the time,A little of the time,Some of the time,None of the time,None of the time,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,It has increased greatly. ,I feel more or less the same.,13,25,14,4,4,1,3.75,3.5
2019/03/24 6:57:34 PM GMT+5:30,I Agree,1a64dbe644980abd92c3eaebde1e0502,Male,24,Bachelor's degree,United Kingdom,Enthusiastic,No,,2,Pop,classical,Sometimes,Rarely,Rarely,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Rarely,Never,Never,Rarely,Some of the time,Some of the time,None of the time,None of the time,A little of the time,None of the time,None of the time,None of the time,None of the time,None of the time,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Listen to more ,I feel better now,11,14,15,4.5,3.5,3,4.5,2.25
2019/03/24 7:17:18 PM GMT+5:30,I Agree,02944c1c293bf12539279a15d4cb5669,Male,17,High School graduate,Ireland,Enthusiastic,Yes,"Guitar - 1 year,",3,classical,rock,Sometimes,Sometimes,Often,Always,Rarely,Often,Always,Rarely,Rarely,Rarely,Sometimes,Always,Never,Sometimes,Some of the time,A little of the time,None of the time,Some of the time,Some of the time,A little of the time,Some of the time,Most of the time,Some of the time,All of the time,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Listen to slightly less music now as I can just play the songs myself on guitar and I spend time writing songs.,I feel more or less the same.,22,19,29,4.75,2,1.75,3,5
2019/03/24 7:22:09 PM GMT+5:30,I Agree,a7b8e73ed74ec606c36b154a45ff900c,Male,22,Bachelor's degree,United States,Enthusiastic,Yes,"piano, 7",5,Mixed,Mixed,Often,Sometimes,Rarely,Often,Rarely,Sometimes,Often,Rarely,Never,Sometimes,Never,Rarely,Never,Sometimes,Most of the time,Some of the time,None of the time,A little of the time,None of the time,None of the time,Some of the time,A little of the time,None of the time,A little of the time,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,I listen more,I feel better now,14,17,20,5,3,4,4.25,2.25
2019/03/24 7:24:15 PM GMT+5:30,I Agree,42f5335f5b43c2ce27f428e68403480b,Male,28,Bachelor's degree,Austria,Enthusiastic,Yes,"Bass, 12 years",2,Rock,rock,Sometimes,Rarely,Rarely,Always,Rarely,Often,Often,Sometimes,Never,Often,Sometimes,Rarely,Never,Always,Some of the time,A little of the time,None of the time,A little of the time,A little of the time,None of the time,A little of the time,Some of the time,None of the time,None of the time,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Not really.,I feel better now,16,22,18,3.5,2.25,3.25,3.75,2.75
2019/03/24 7:40:11 PM GMT+5:30,I Agree,698acca8d6b1faa0a76aef2ab41443be,Male,21,High School graduate,Norway,Enthusiastic,No,,2,rock,jazz,Often,Never,Never,Often,Never,Often,Sometimes,Never,Never,Often,Never,Never,Never,Often,Most of the time,Most of the time,Some of the time,Some of the time,Some of the time,None of the time,Some of the time,Most of the time,Some of the time,Some of the time,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,"Listen to alot more different music, like discovering New artist",I feel better now,8,19,31,3.25,2.5,4,2.5,3.5
2019/03/24 7:44:14 PM GMT+5:30,I Agree,0383f128c134bc3b339e8b808da10fb3,Male,19,High School graduate,Germany,Enthusiastic,No,,4,classical,classical,Often,Sometimes,Often,Often,Never,Always,Always,Sometimes,Never,Sometimes,Never,Rarely,Rarely,Often,Some of the time,Some of the time,None of the time,A little of the time,Some of the time,None of the time,Some of the time,Most of the time,A little of the time,None of the time,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,I started having a job so I listen to music at and on the way too / from work.,I feel better now,17,21,23,5,4.75,1.75,3.75,3.75
2019/03/24 7:51:41 PM GMT+5:30,I Agree,c90d2a8efebefeed59fc55039108aba1,Male,51,Bachelor's degree,United Kingdom,Enthusiastic,No,,2,rock,rock,Sometimes,Never,Never,Often,Never,Often,Often,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Most of the time,A little of the time,None of the time,None of the time,None of the time,None of the time,A little of the time,A little of the time,None of the time,None of the time,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,"Listening to less music overall. Listening to more in the evening, but less during the day (at work) ",I feel more or less the same.,10,18,16,3.75,2.75,1.5,3.75,2.5
2019/03/24 8:12:58 PM GMT+5:30,I Agree,7f9bd84f11ed1bb058eee66293a3e643,Male,29,Bachelor's degree,United States,Enthusiastic,Yes,"DAW, Keyboard, alto saxophone; 1-3 years each",4,Mixed,Mixed,Always,Rarely,Sometimes,Often,Never,Always,Always,Rarely,Never,Often,Rarely,Rarely,Sometimes,Often,A little of the time,A little of the time,None of the time,A little of the time,A little of the time,None of the time,A little of the time,A little of the time,None of the time,A little of the time,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,"It is always growing and evolving with trends in the industry and music community, and my personal life and how much time I devote to music.",I feel more or less the same.,16,22,17,4.75,3.75,2.25,4,2
